ticker,period,revenue_growth,net_margin,eps_growth,debt_to_equity,free_cash_flow_positive
AAPL,2026Q1,0.04,0.25,0.08,1.2,True
MSFT,2026Q1,0.16,0.36,0.18,0.45,True
NVDA,2026Q1,0.78,0.49,1.1,0.25,True
AMZN,2026Q1,0.13,0.11,0.2,0.72,True
GOOGL,2026Q1,0.08,0.24,0.07,0.12,True
META,2026Q1,0.21,0.34,0.26,0.18,True
JPM,2026Q1,0.05,0.29,0.06,0.88,True
XOM,2026Q1,-0.03,0.12,-0.09,0.38,True
UNH,2026Q1,0.02,0.06,-0.04,0.76,True
TSLA,2026Q1,-0.06,0.08,-0.22,0.85,False
AMD,2026Q1,0.09,0.07,-0.05,0.55,False
WMT,2026Q1,0.06,0.04,0.11,0.62,True
